form	lemma	POS	morph
		
		
༽ ༄༅།		PUNCT
དཔལ་ལྡན་	དཔལ་ལྡན་	ADJ
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
དཀྱིལ་འཁོར་	དཀྱིལ་འཁོར་	NOUN
ལ་	ལ་	PART
ཆོ་ག་	ཆོ་ག་	NOUN
ངེས་དོན་	ངེས་དོན་	NOUN
བྱིན་རླབས་	བྱིན་རླབས་	NOUN
ཆུ་རྒྱུན་	ཆུ་རྒྱུན་	NOUN
བཞུགས་	བཞུགས་	VERB
སོ་	གོ་	PART
།		PUNCT
		
༽		PUNCT
ན་མོ་	ན་མོ་	X
ཨུ་	ཨུ་	NO_POS
རྟེ་		NON_WORD
བྷྱཿ་		NON_WORD
གང་ཞིག་	གང་ཞིག་	NO_POS
འཁོར་བ་	འཁོར་བ་	NOUN
འི་	གི་	PART
འཇིགས་	འཇིགས་	VERB
དང་	དང་	NO_POS
ཞི་བ་	ཞི་བ་	VERB
འི་	གི་	PART
གཡང་ས་	གཡང་ས་	NO_POS
ལ་	ལ་	ADP
ས་	གིས་	PART
། །		PUNCT
ལེགས་	ལེགས་	VERB
སྐྱོབས་	སྐྱོབས་	VERB
ངེས་པ་	ངེས་པ་	VERB
ཁོ་ན་	ཁོ་ན་	DET
ར་	ལ་	PART
ཚེ་	ཚེ་	NOUN
གཅིག་	གཅིག་	NUM
བྱང་	བྱང་	NOUN
ཆེན་	ཆེན་	NO_POS
ལ་	ལ་	PART
། །		PUNCT
འགོད་	འགོད་	NO_POS
མཁའ་	མཁའ་	VERB
བླ་མ་	བླ་མ་	NOUN
མཆོག་	མཆོག་	ADJ
ཞབས་	ཞབས་	NOUN
ཡང་དག་	ཡང་དག་	ADJ
བཏུད་	བཏུད་	NO_POS
བྱ་	བྱ་	VERB
ན་	ནས་	PART
། །		PUNCT
དེ་ཉིད་	དེ་ཉིད་	NOUN
མཆོག་	མཆོག་	ADJ
དང་	དང་	NO_POS
སྒྲུབ་པ་	སྒྲུབ་པ་	VERB
འི་	གི་	PART
ལས་རིམ་	ལས་རིམ་	OTHER
འདི་	འདི་	DET
ར་	ལ་	PART
འགོད་	འགོད་	NO_POS
བྱ་	བྱ་	VERB
། །		PUNCT
མཁའ་མཉམ་	མཁའ་མཉམ་	OTHER
ཕ་མ་	ཕ་མ་	NOUN
དྲིན་ཅན་	དྲིན་ཅན་	ADJ
རྣམས་	རྣམས་	DET
། །		PUNCT
གཏན་	གཏན་	NOUN
བདེ་	བདེ་	VERB
ར་	ལ་	PART
འགོད་པ་	འགོད་པ་	VERB
འི་	གི་	PART
བློ་ལྡན་	བློ་ལྡན་	NOUN
གྱི་	གི་	PART
། །		PUNCT
སྐལ་བཟང་	སྐལ་བཟང་	OTHER
དད་པ་	དད་པ་	VERB
བརྟན་པོ་	བརྟན་པོ་	ADJ
གང་	གང་	NO_POS
། །		PUNCT
བླ་མེད་	བླ་མེད་	ADJ
སྒྲུབ་	སྒྲུབ་	VERB
ཅིང་	ཅིང་	PART
མཆོད་	མཆོད་	VERB
འདོད་པ་	འདོད་པ་	VERB
ས་	གིས་	PART
། །		PUNCT
ཡིད་	ཡིད་	NOUN
མཐུན་	མཐུན་	VERB
གནས་ཁང་	གནས་ཁང་	NOUN
བྱི་དོར་	བྱི་དོར་	NOUN
བྱ་	བྱ་	VERB
། །		PUNCT
སྐུ་གཟུགས་	སྐུ་གཟུགས་	NOUN
ལ་སོགས་	ལ་སོགས་	NO_POS
མཆོད་	མཆོད་	VERB
		
༽		PUNCT
པ་	པ་	OTHER
འི་	གི་	PART
རྟེན་	རྟེན་	NOUN
། །		PUNCT
བཀྲམ་པ་	བཀྲམ་པ་	NO_POS
འི་	གི་	PART
དྲུང་	དྲུང་	NOUN
དུ་	ལ་	PART
སྟེགས་	སྟེགས་	NOUN
བཟང་	བཟང་	VERB
སོགས་	སོགས་	DET
། །		PUNCT
མེ་ཏོག་ཚོམ་བུ་	མེ་ཏོག་ཚོམ་བུ་	NO_POS
ལྔ་	ལྔ་	NUM
འགོད་	འགོད་	NO_POS
ཅིང་	ཅིང་	PART
། །		PUNCT
བླ་མ་	བླ་མ་	NOUN
འི་	གི་	PART
གཏོར་མ་	གཏོར་མ་	NOUN
རྒྱན་	རྒྱན་	NOUN
ལྡན་	ལྡན་	VERB
དང་	དང་	NO_POS
། །		PUNCT
བདུད་རྩི་	བདུད་རྩི་	NOUN
ས་	གིས་	PART
		
ཆག་	ཆག་	VERB
ངམ་	གམ་	PART
ཆུ་	ཆུ་	NOUN
ལ་	ལ་	PART
བདུད་རྩི་	བདུད་རྩི་	NOUN
རིལ་བུ་	རིལ་བུ་	OTHER
བཏབས་		NON_WORD
།		PUNCT
		
བཀང་བ་	བཀང་བ་	VERB
འི་	གི་	PART
ཐོད་པ་	ཐོད་པ་	NOUN
བཞག་	བཞག་	VERB
།		PUNCT
རྣམ་	རྣམ་	NOUN
ལྔ་	ལྔ་	NUM
འི་	གི་	PART
མཆོད་པ་	མཆོད་པ་	VERB
རྒྱ་ཆེན་པོ་	རྒྱ་ཆེན་པོ་	ADJ
། །		PUNCT
སེར་སྣ་	སེར་སྣ་	NOUN
ས་	གིས་	PART
མ་	མ་	PART
བཅིང་	བཅིང་	NO_POS
བསོད་ནམས་	བསོད་ནམས་	NOUN
དང་	དང་	NO_POS
། །		PUNCT
རང་གཞན་	རང་གཞན་	NOUN
ཚོགས་	ཚོགས་	NOUN
གཉིས་	གཉིས་	NUM
སྤེལ་	སྤེལ་	VERB
ཕྱི་	ཕྱི་	OTHER
འགོད་	འགོད་	NO_POS
། །		PUNCT
མཆོད་པ་	མཆོད་པ་	VERB
འི་	གི་	PART
མཎྜད་		NON_WORD
རྡོར་དྲིལ་	རྡོར་དྲིལ་	NO_POS
དང་	དང་	NO_POS
། །		PUNCT
ཌ་	ཌ་	NO_POS
མ་	མ་	PART
རུ་	ལ་	PART
སོགས་	སོགས་	DET
རོལ་མོ་	རོལ་མོ་	NOUN
འི་	གི་	PART
ཚོགས་	ཚོགས་	NOUN
། །		PUNCT
འཛོམ་	འཛོམ་	NO_POS
བྱ་	བྱ་	VERB
གལ་ཏེ་	གལ་ཏེ་	NO_POS
རྣལ་འབྱོར་པ་	རྣལ་འབྱོར་པ་	NOUN
། །		PUNCT
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
ལ་	ལ་	PART
ནི་	ནི་	NO_POS
མོ་	མོ་	VERB
བློ་	བློ་	NOUN
ས་	གིས་	PART
རུང་	རུང་	SCONJ
། །		PUNCT
འཇིག་རྟེན་	འཇིག་རྟེན་	NOUN
བྱ་	བྱ་	VERB
བྲེལ་	བྲེལ་	NO_POS
ཀུན་སྤངས་	ཀུན་སྤངས་	NO_POS
ཏེ་	སྟེ་	PART
། །		PUNCT
		
༽		PUNCT
བདེ་བ་	བདེ་བ་	VERB
འི་	གི་	PART
སྟན་	སྟན་	NOUN
འཁོད་	འཁོད་	NO_POS
སྐྱབས་ཡུལ་	སྐྱབས་ཡུལ་	NO_POS
ལ་	ལ་	PART
། །		PUNCT
གུས་པ་	གུས་པ་	VERB
ས་	གིས་	PART
སྐྱབས་སེམས་	སྐྱབས་སེམས་	NO_POS
བདུན་	བདུན་	NUM
དག་	དག་	DET
བྱ་	བྱ་	VERB
། །		PUNCT
ན་མོ་	ན་མོ་	X
དམིགས་མེད་	དམིགས་མེད་	NO_POS
སྤྲོས་བྲལ་	སྤྲོས་བྲལ་	ADJ
སངས་རྒྱས་	སངས་རྒྱས་	NOUN
ཆོ་	ཆོ་	NOUN
ཀྱི་	གི་	PART
སྐུ་	སྐུ་	NOUN
། །		PUNCT
འགག་	འགག་	VERB
མེད་	མེད་	VERB
རང་	རང་	PRON
གསལ་	གསལ་	VERB
དམ་ཆོས་	དམ་ཆོས་	NOUN
ལོངས་སྤྱོད་	ལོངས་སྤྱོད་	NOUN
རྫོགས་	རྫོགས་	VERB
། །		PUNCT
གཉིས་	གཉིས་	NUM
མེད་	མེད་	VERB
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
འི་	གི་	PART
སྤྲུལ་སྐུ་	སྤྲུལ་སྐུ་	NOUN
དགེ་འདུན་	དགེ་འདུན་	NOUN
བཅའ་	བཅའ་	VERB
། །		PUNCT
དཀོན་མཆོག་	དཀོན་མཆོག་	NOUN
སྐུ་གསུམ་	སྐུ་གསུམ་	OTHER
བླ་མ་	བླ་མ་	NOUN
ར་	ལ་	PART
སྐྱབས་	སྐྱབས་	NOUN
སུ་	ལ་	PART
མཆིའོ་		NON_WORD
། །		PUNCT
		
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
		
འགྲོ་	འགྲོ་	VERB
ཀུན་	ཀུན་	DET
བདེ་	བདེ་	VERB
ར་	ལ་	PART
བཤེགས་		NON_WORD
སྙིང་པོ་	སྙིང་པོ་	NOUN
ལྷུན་གྲུབ་	ལྷུན་གྲུབ་	OTHER
ཀྱང་	ཀྱང་	PART
། །		PUNCT
མ་རིག་	མ་རིག་	NOUN
ལྷན་སྐྱེས་	ལྷན་སྐྱེས་	ADJ
སྒྲིབ་པ་	སྒྲིབ་པ་	VERB
ས་	གིས་	PART
འཁོར་བ་	འཁོར་བ་	NOUN
ར་	ལ་	PART
		
འཁྱམས་	འཁྱམས་	NO_POS
། །		PUNCT
རང་རིག་	རང་རིག་	NO_POS
སྨོན་	སྨོན་	VERB
འཇུག་	འཇུག་	VERB
དོན་དམ་	དོན་དམ་	NOUN
ཚད་	ཚད་	NOUN
མེད་	མེད་	VERB
བཞི་	བཞི་	NUM
། །		PUNCT
ཡོངས་རྫོགས་	ཡོངས་རྫོགས་	OTHER
བྱང་ཆུབ་	བྱང་ཆུབ་	NOUN
སེམས་	སེམས་	NOUN
མཆོག་	མཆོག་	ADJ
བསྐྱེད་པ་	བསྐྱེད་པ་	VERB
ར་	ལ་	PART
བགྱི་	བགྱི་	VERB
འོ་	གོ་	PART
། །		PUNCT
		
ལན་	ལན་	NOUN
གསུམ་	གསུམ་	NUM
།		PUNCT
		
རང་སེམས་	རང་སེམས་	NOUN
བླ་མ་	བླ་མ་	NOUN
ར་	ལ་	PART
རྟོགས་པ་	རྟོགས་པ་	VERB
ས་	གིས་	PART
གུས་ཕྱག་	གུས་ཕྱག་	NO_POS
འཚལ་	འཚལ་	VERB
། །		PUNCT
ཚོགས་	ཚོགས་	NOUN
དྲུག་	དྲུག་	NUM
ཞེན་པ་	ཞེན་པ་	VERB
བྲལ་བ་	བྲལ་བ་	VERB
འི་	གི་	PART
མཆོད་པ་	མཆོད་པ་	VERB
འབུལ་	འབུལ་	NO_POS
། །		PUNCT
གཉིས་	གཉིས་	NUM
འཛིན་	འཛིན་	VERB
ཨ་འཐས་	ཨ་འཐས་	NO_POS
སྒྲིབ་	སྒྲིབ་	NOUN
ཚོགས་	ཚོགས་	NOUN
མཐོལ་	མཐོལ་	NO_POS
ཞིང་	ཅིང་	PART
བཤགས་	བཤགས་	NO_POS
། །		PUNCT
ཐུགས་རྗེ་	ཐུགས་རྗེ་	NOUN
རྒྱུན་	རྒྱུན་	NOUN
ཆད་	ཆད་	VERB
མེད་	མེད་	VERB
ལ་	ལ་	PART
རྗེས་	རྗེས་	NOUN
ཡི་	གི་	PART
རང་	རང་	PRON
། །		PUNCT
ཁྱབ་གདལ་	ཁྱབ་གདལ་	OTHER
ཡེ་ཤེས་	ཡེ་ཤེས་	NOUN
ཆོ་	ཆོ་	NOUN
བཁོར་		NON_WORD
བསྐོར་	བསྐོར་	VERB
དུ་	ལ་	PART
གསོལ་	གསོལ་	VERB
